3,32,17.5,13.9
3,31.2,16.9,21.4
3,29.3,15.5,25.2
3,31.7,17.1,11.3
3,31.9,16.5,11.3
3,29.7,16.1,27.3
3,31.9,17.2,13.6
3,30.7,16.1,13.7
3,30.6,16.1,19.5
3,32.5,17,10
3,30.4,15.3,18.3
3,31.6,15.9,7.6
3,29.6,15.7,51.1
3,30.5,15.9,20.6
3,33,17.4,12.3
3,30.5,16.2,18.2
3,30.9,15.3,9.4
3,31.7,16.3,7.2
3,31.3,16.1,10.9
3,32.2,16.7,14.5
3,30.8,15.9,19.2
3,31,16.1,14.9
3,32.8,17.1,8.7
3,29.6,15.4,30
3,30.3,15.4,15.4
3,30.7,16.5,20.5
3,30.2,16.3,29.9
3,29.5,15.5,36.1
3,30.5,15.8,17.4
3,31.8,16.6,15.7
3,32.8,17.1,10.2
3,30.8,16.5,11.9
3,30.7,16.3,16.8
3,31,16.5,26.7
3,30.5,16,20
3,29.4,15.7,28.4
4,34.6,20.5, 
4,34.6,21,35.4
4,34.5,20.2,13.8
4,35.3,21,27.8
4,32.6,18.7,26.9
4,35.1,20.7,12.6
4,31.9,19.6,53.3
4,35.9,21.6,20
4,32.8,19.9,64.9
4,34.7,20.2,21.9
4,34.4,20.3,19.9
4,33.9,20.7,31.9
4,35.4,21.1,19.3
4,33.5,20,34.5
4,34.1,20.8,27.6
4,34.9,21.5,24.9
4,33,19.1,25.9
4,33.5,19.5,24.3
4,34.2,20.3,21.3
4,34.2,20.2,24.3
4,35.6,21.7,34.7
4,35.3,21.2,18.2
4,35.1,20.9,19.7
4,35.5,21.5,23.2
4,35.5,21.5,33.6
4,32.7,19,26.3
4,34.7,20.3,23
4,34.8,20.5,26.4
4,34.4,21.1,41.6
4,33.9,20.4,24.8
4,35.7,21.5,22
4,34.7,20.5,21.6
4,33.3,19.7,40.3
4,35.1,20.5,25.3
4,32.8,19.2,31.6
4,34.4,20.3,18.6
4,33.2,19.9,46
4,35.5,21.1,21.5
4,34.1,20,30.4
4,34.1,20,21.3
4,36.1,22.1,22.7
4,35,21.6,36.5
4,33.3,19.9,39.5
4,33.3,19.8,27.1
4,33.4,19.9,34.4
4,34.5,21.3,42.9
4,34.9,21.3,30.3
4,35.2,21.4,27.2
4,34.7,21.2,38.5
4,34.4,20,10.1
4,32.9,19.8,35.8
4,35.2,21.6,27.8
4,35,21.2,28.2
4,35.4,21.5,21.1
4,33.9,19.4,29.9
4,35.3,21.4,24.5
4,33.8,20.2,20.3
4,35.5,22,28.6
4,35.1,21.2,24.9
4,34.9,20.3,16.6
4,34.9,20.8,19.3
4,34.6,20.9,32.4
4,33.7,20.1,31.5
4,35.4,21.3,24.8
4,33.2,19.8,28.5
4,35.2,20.8,17
4,34,19.7,21.4
4,34.2,19.8,26.3
4,35.6,21,26.8
4,35.5,21,24.4
4,34.3,20.3,48
4,34.2,19.9,22.6
4,36.6,21.7,20.8
4,35.5,21.2,25.9
4,35.6,20.7,20
4,34.3,20.1,32.1
4,33.9,20.7,49.6
4,34.6,20.5,24.2
4,35.5,20.6,18.2
4,36,21.5,23.9
4,34.8,20.7,29.6
4,34,20,39
4,33.5,19.6,41.6
4,34.8,20.8,32
4,35.1,20.8,24.9
4,34.8,20.6,30.6
4,35.1,20.3,24
4,35,20.9,34.8
4,34.7,19.8,17.6
4,34.4,20,28.7
